ClusterID,t0_mean_x,t0_mean_y,t0_mean_z,t0_evals_x,t0_evals_y,t0_evals_z,t0_cov(0:0),t0_cov(0:1),t0_cov(0:2),t0_cov(1:0),t0_cov(1:1),t0_cov(1:2),t0_cov(2:0),t0_cov(2:1),t0_cov(2:2),t0_evecs(0:0),t0_evecs(0:1),t0_evecs(0:2),t0_evecs(1:0),t0_evecs(1:1),t0_evecs(1:2),t0_evecs(2:0),t0_evecs(2:1),t0_evecs(2:2),t1_mean_x,t1_mean_y,t1_mean_z,t1_evals_x,t1_evals_y,t1_evals_z,t1_cov(0:0),t1_cov(0:1),t1_cov(0:2),t1_cov(1:0),t1_cov(1:1),t1_cov(1:2),t1_cov(2:0),t1_cov(2:1),t1_cov(2:2),t1_evecs(0:0),t1_evecs(0:1),t1_evecs(0:2),t1_evecs(1:0),t1_evecs(1:1),t1_evecs(1:2),t1_evecs(2:0),t1_evecs(2:1),t1_evecs(2:2),t2_mean_x,t2_mean_y,t2_mean_z,t2_evals_x,t2_evals_y,t2_evals_z,t2_cov(0:0),t2_cov(0:1),t2_cov(0:2),t2_cov(1:0),t2_cov(1:1),t2_cov(1:2),t2_cov(2:0),t2_cov(2:1),t2_cov(2:2),t2_evecs(0:0),t2_evecs(0:1),t2_evecs(0:2),t2_evecs(1:0),t2_evecs(1:1),t2_evecs(1:2),t2_evecs(2:0),t2_evecs(2:1),t2_evecs(2:2),t3_mean_x,t3_mean_y,t3_mean_z,t3_evals_x,t3_evals_y,t3_evals_z,t3_cov(0:0),t3_cov(0:1),t3_cov(0:2),t3_cov(1:0),t3_cov(1:1),t3_cov(1:2),t3_cov(2:0),t3_cov(2:1),t3_cov(2:2),t3_evecs(0:0),t3_evecs(0:1),t3_evecs(0:2),t3_evecs(1:0),t3_evecs(1:1),t3_evecs(1:2),t3_evecs(2:0),t3_evecs(2:1),t3_evecs(2:2),Label
P1149.P502.N37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,11.4938,5.02626,-0.374986,0.00863639,0.123701,0.187489,0.133305,0.0186457,-0.0242557,0.0186457,0.0115751,-0.00855143,-0.0242557,-0.00855143,0.174947,0.142111,-0.890403,0.43242,-0.989392,-0.114469,0.0894488,-0.0301468,-0.440544,-0.897225,0
P1175.N17.P45,11.7501,-0.174559,0.455102,0.00317841,0.190284,0.237171,0.236973,-0.00285932,-0.0022487,-0.00285932,0.190455,0.00104074,-0.0022487,0.00104074,0.00320552,0.00955152,-0.061357,0.99807,-0.00541106,-0.998104,-0.0613074,0.99994,-0.00481504,-0.00986542,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
P1180.N13.P109,11.8021,-0.133968,1.09783,0.0305792,0.0440583,0.0806433,0.0437819,-0.00193982,0.00069878,-0.00193982,0.0308807,0.000804666,0.00069878,0.000804666,0.0806182,0.146272,-0.989078,0.018138,0.989082,0.146556,0.0154584,-0.0179478,0.0156789,0.999716,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
P1181.N11.N32,11.8174,-0.118137,-0.320064,0.0179988,0.023908,0.0759371,0.0231147,-0.0020039,0.00152897,-0.0020039,0.0189062,0.00205164,0.00152897,0.00205164,0.0758231,0.375444,-0.926434,0.0275901,0.925857,0.376252,0.034969,-0.0427773,0.0124156,0.999007,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
P1249.P1.P117,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,12.4986,0.0136822,1.17369,0.0353997,0.0424762,0.0842319,0.0356698,-0.000284124,-0.00347739,-0.000284124,0.0425008,-0.00140168,-0.00347739,-0.00140168,0.0839372,0.995862,-0.0564766,0.0711932,0.0542377,0.997983,0.033,0.0729133,0.0290021,-0.996917,12.7078,0.0168741,1.274,0.0414853,0.0491691,0.0587451,0.0461915,0.0037405,0.000600555,0.0037405,0.045714,-0.0039956,0.000600555,-0.0039956,0.057494,0.624552,0.779669,0.0452775,-0.751912,0.584622,0.304704,-0.211098,0.224348,-0.95137,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
P1250.P4.P15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,12.5071,0.0454747,0.156486,0.105037,0.124256,0.181755,0.118134,-0.0076372,0.00913798,-0.0076372,0.114794,0.0134798,0.00913798,0.0134798,0.178121,0.600313,0.79098,0.118215,0.769753,-0.611551,0.182991,-0.217037,0.0188559,0.975981,12.7004,0.0842571,0.319474,0.103015,0.126685,0.202631,0.124531,0.00508054,-0.0104937,0.00508054,0.11477,0.027456,-0.0104937,0.027456,0.193032,0.359197,-0.926897,0.108809,-0.880155,-0.375215,-0.29076,0.310332,0.00867117,-0.950589,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
P1315.P6.P118,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,13.1518,0.0682666,1.18716,0.0373668,0.0387667,0.091409,0.0384532,0.000568276,-0.000392717,0.000568276,0.0377909,0.00240753,-0.000392717,0.00240753,0.0912984,-0.475147,0.879879,0.00692776,0.87887,0.474954,-0.0447819,-0.042693,-0.0151894,-0.998973,0
P1316.P4.P15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,13.1676,0.0412371,0.157243,0.115309,0.138219,0.180983,0.137418,0.00492299,-0.00179252,0.00492299,0.117889,-0.0101256,-0.00179252,-0.0101256,0.179204,0.20354,-0.977293,0.0589063,-0.967866,-0.191773,0.16266,-0.14767,-0.0901214,-0.984922,0
P1339.P596.N100,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,13.3908,5.9677,-1.00548,0.00371133,0.00458427,0.0144257,0.0047003,0.00117422,-0.00014145,0.00117422,0.0142837,6.05455e-05,-0.00014145,6.05455e-05,0.00373725,-0.170022,-0.97813,0.119809,0.0245251,0.117341,0.992789,-0.985135,0.171734,0.0040382,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
P1389.P778.N28,13.8981,7.78508,-0.286986,0.0281921,0.036879,0.22006,0.0368182,0.00073166,0.000337365,0.00073166,0.0282793,0.00222539,0.000337365,0.00222539,0.220034,-0.0840665,0.996458,-0.00188732,0.996395,0.0840391,-0.0116102,-0.0114105,-0.00285654,-0.999931,14.1247,7.86559,-0.28078,0.0302524,0.041092,0.230143,0.0406688,0.00219433,0.00229831,0.00219433,0.0307332,0.00240528,0.00229831,0.00240528,0.230085,-0.204136,-0.978866,0.0122694,0.978897,-0.203989,0.0121952,-0.00943466,0.0144999,0.99985,13.8069,7.86473,-0.255282,0.0255683,0.0376397,0.214105,0.0344721,0.00531546,-0.00213449,0.00531546,0.0287641,0.000784269,-0.00213449,0.000784269,0.214077,-0.514228,0.857573,0.0117664,0.857602,0.514299,-0.00389371,-0.00939059,0.00808863,-0.999923,13.7991,7.99644,-0.25882,0.0277352,0.0477218,0.226716,0.0447671,0.00709711,-0.00105055,0.00709711,0.0306971,0.000515245,-0.00105055,0.000515245,0.226709,-0.384866,0.922955,0.00567924,0.922962,0.384884,-0.00242288,-0.00442205,0.00430924,-0.999981,1
