ClusterID,t0_mean_x,t0_mean_y,t0_mean_z,t0_evals_x,t0_evals_y,t0_evals_z,t0_cov(0:0),t0_cov(0:1),t0_cov(0:2),t0_cov(1:0),t0_cov(1:1),t0_cov(1:2),t0_cov(2:0),t0_cov(2:1),t0_cov(2:2),t0_evecs(0:0),t0_evecs(0:1),t0_evecs(0:2),t0_evecs(1:0),t0_evecs(1:1),t0_evecs(1:2),t0_evecs(2:0),t0_evecs(2:1),t0_evecs(2:2),t1_mean_x,t1_mean_y,t1_mean_z,t1_evals_x,t1_evals_y,t1_evals_z,t1_cov(0:0),t1_cov(0:1),t1_cov(0:2),t1_cov(1:0),t1_cov(1:1),t1_cov(1:2),t1_cov(2:0),t1_cov(2:1),t1_cov(2:2),t1_evecs(0:0),t1_evecs(0:1),t1_evecs(0:2),t1_evecs(1:0),t1_evecs(1:1),t1_evecs(1:2),t1_evecs(2:0),t1_evecs(2:1),t1_evecs(2:2),t2_mean_x,t2_mean_y,t2_mean_z,t2_evals_x,t2_evals_y,t2_evals_z,t2_cov(0:0),t2_cov(0:1),t2_cov(0:2),t2_cov(1:0),t2_cov(1:1),t2_cov(1:2),t2_cov(2:0),t2_cov(2:1),t2_cov(2:2),t2_evecs(0:0),t2_evecs(0:1),t2_evecs(0:2),t2_evecs(1:0),t2_evecs(1:1),t2_evecs(1:2),t2_evecs(2:0),t2_evecs(2:1),t2_evecs(2:2),t3_mean_x,t3_mean_y,t3_mean_z,t3_evals_x,t3_evals_y,t3_evals_z,t3_cov(0:0),t3_cov(0:1),t3_cov(0:2),t3_cov(1:0),t3_cov(1:1),t3_cov(1:2),t3_cov(2:0),t3_cov(2:1),t3_cov(2:2),t3_evecs(0:0),t3_evecs(0:1),t3_evecs(0:2),t3_evecs(1:0),t3_evecs(1:1),t3_evecs(1:2),t3_evecs(2:0),t3_evecs(2:1),t3_evecs(2:2),Label
N1111.P3430.N49,-11.1134,34.3047,-0.491544,0.000817709,0.0149484,0.347966,0.347944,-0.00140751,-0.0023378,-0.00140751,0.000836558,0.000440214,-0.0023378,0.000440214,0.0149517,-0.00384747,-0.00714585,0.999967,-0.999528,-0.0304667,-0.0040635,0.0304948,-0.99951,-0.00702525,-11.158,34.271,-0.312016,0.000581838,0.0219185,0.325535,0.325529,0.000243082,-0.00135272,0.000243082,0.000744345,-0.00185498,-0.00135272,-0.00185498,0.0217622,0.000382119,-0.00450823,0.99999,-0.996189,0.0872193,0.000773876,-0.0872219,-0.996179,-0.00445772,-11.1611,34.2504,-0.382137,0.00069756,0.0256497,0.342785,0.342778,-0.000294785,-0.00153454,-0.000294785,0.00112797,-0.00324651,-0.00153454,-0.00324651,0.0252269,-0.00144327,-0.00467488,0.999988,-0.991342,0.131302,-0.00081696,-0.131296,-0.991331,-0.00482391,-11.2721,34.1654,-0.348501,0.00188987,0.0271311,0.337793,0.337642,0.00505309,-0.00470657,0.00505309,0.00509524,-0.00839093,-0.00470657,-0.00839093,0.024077,0.0091514,-0.0199104,0.99976,-0.935946,0.351798,0.0155734,-0.352024,-0.935864,-0.0154156,1
N1112.P527.N24,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-11.1218,5.27664,-0.244898,0.00552928,0.0228883,0.232524,0.0227632,0.00160893,0.00153142,0.00160893,0.00613306,0.0102761,0.00153142,0.0102761,0.232045,-0.0889374,-0.996008,0.00764126,0.995041,-0.0885028,0.0453973,-0.0445398,0.0116409,0.99894,0
N1119.N660.N33,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-11.1986,-6.60813,-0.336844,0.111146,0.191856,0.67473,0.574301,-0.212966,-0.00823609,-0.212966,0.222928,-0.0271811,-0.00823609,-0.0271811,0.180503,0.392682,0.167359,0.904319,0.839469,0.336383,-0.426776,0.375622,-0.926735,0.00840131,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
N1122.P3429.N97,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-11.2213,34.298,-0.979136,0.000399934,0.00135392,0.306867,0.306843,0.000496833,0.00268338,0.000496833,0.00040343,5.49467e-05,0.00268338,5.49467e-05,0.0013748,-0.00115397,-0.0088575,0.99996,0.998588,0.0530951,0.00162269,-0.0531073,0.99855,0.00878372,-11.1999,34.2514,-1.01218,0.00084304,0.00210969,0.325061,0.32503,0.00273725,0.00152731,0.00273725,0.000906953,0.00023654,0.00152731,0.00023654,0.00207613,0.00746059,-0.00617371,0.999953,-0.983736,0.179423,0.00844735,0.179467,0.983753,0.0047347,-11.2827,34.1155,-0.974589,0.000320163,0.000986948,0.324806,0.324792,0.00166082,0.00129213,0.00166082,0.000424503,0.000240539,0.00129213,0.000240539,0.000896275,-0.00322667,-0.00563691,0.999979,0.925344,0.379093,0.00512281,-0.379114,0.925341,0.00399287,0
N1304.P919.P99,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-13.0475,9.19913,0.992033,0.00409859,0.00526219,2.42875,0.00449804,-0.00046257,0.00922365,-0.00046257,0.00506717,0.0202607,0.00922365,0.0202607,2.42855,-0.828755,-0.559599,0.00380298,-0.559557,0.828749,0.00835838,0.00782906,-0.00479906,0.999958,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
N1308.P923.P150,-13.0806,9.23655,1.50899,0.00243113,0.00305,3.71,0.00322313,0.000309511,0.0488861,0.000309511,0.00290601,0.00348382,0.0488861,0.00348382,3.70936,0.87287,-0.487774,0.0131872,-0.487827,-0.87294,0.000940788,-0.0110527,0.00725426,0.999913,-13.0196,9.22552,1.34245,0.00149729,0.00324032,3.15287,0.00195727,0.000777203,0.00571773,0.000777203,0.00281134,0.00805728,0.00571773,0.00805728,3.15284,-0.861429,0.507875,0.00181525,0.507878,0.861425,0.00255825,0.000264429,-0.00312568,0.999995,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-13.0889,9.12021,1.5296,0.00215411,0.00613707,3.6238,0.00328,0.00208935,0.0244825,0.00208935,0.00607454,0.0569773,0.0244825,0.0569773,3.62273,-0.87118,0.490917,0.00677024,0.490961,0.871039,0.0157511,-0.00183534,-0.017046,0.999853,0
N1348.N537.N36,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-13.4887,-5.37948,-0.362328,0.0684191,0.151811,0.581273,0.54218,-0.135623,-0.00651933,-0.135623,0.10818,0.0106592,-0.00651933,0.0106592,0.151143,0.27249,-0.0485715,0.960932,0.956758,-0.0919964,-0.275956,-0.101806,-0.994574,-0.0214031,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
N1372.N637.P49,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-13.7276,-6.37242,0.496307,0.00016114,0.00892939,0.362339,0.35996,-0.0288997,-3.64436e-05,-0.0288997,0.0112009,-0.000962879,-3.64436e-05,-0.000962879,0.000268132,0.00894398,-0.081537,0.99663,0.110099,-0.99053,-0.0820259,0.99388,0.110461,0.000117823,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
N1374.P3414.N104,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-13.7493,34.1478,-1.04981,0.000284304,0.000743848,0.392295,0.392006,0.00916079,0.00542618,0.00916079,0.000576161,0.000299128,0.00542618,0.000299128,0.000741616,-0.0156271,-0.022253,0.99963,0.911574,0.41047,0.0233881,-0.410839,0.911603,0.0138708,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
N1433.N593.N37,-14.3399,-5.93867,-0.371651,0.118848,0.238617,0.632515,0.569605,-0.160608,-0.0236758,-0.160608,0.2223,-0.0516051,-0.0236758,-0.0516051,0.198075,-0.299896,-0.205976,0.93147,-0.755889,-0.544357,-0.36374,-0.581974,0.813172,-0.00755563,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-14.2322,-6.1508,-0.286966,0.115103,0.19078,0.66878,0.568151,-0.20987,-0.00349937,-0.20987,0.229913,-0.0312612,-0.00349937,-0.0312612,0.1766,-0.381024,-0.205807,0.901368,-0.815249,-0.385067,-0.432542,-0.436107,0.899648,0.0210645,0
